LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3638
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4978
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3620
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 22 sz=4817
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3768
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4899
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3681
MFfwd missed 667 vs 407 260 packet(s) from 17779!
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4914
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3733
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [545 |	Partial Pack count ==> 2 sz=506
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 20 sz=4826
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3581
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4875
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [545 |	Partial Pack count ==> 2 sz=735
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 22 sz=4894
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3046
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4939
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3748
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4788
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3224
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4778
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3592
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4759
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3225
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4778
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3673
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 20 sz=4956
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3768
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4738
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3642
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 22 sz=4909
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3191
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4863
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3752
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4748
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3613
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 18 sz=4891
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3725
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [454 |	Pack count ==> 19 sz=4838
LogDebug:mfReceiveAndForward:/scratch/workspace/otsdaq-release-build/SLF7/s128-e20-prof/build/otsdaq_utilities/v2_08_00-buildFW/src/otsdaq-utilities/Console/MF_ReceiveAndForward.cpp [506 |	WrapAvoid Pack count ==> 13 sz=3669
